epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,63.5345,1.10107,2.91583,1.4066,0.4137,0.82716,0.62133,0.40479,1.04882,3.49265,1.49682,0.000545182,0.000545182,0.000545182
2,75.7742,1.15925,1.58788,1.45415,0.58299,0.50945,0.50694,0.27641,1.61667,2.46666,2.06047,0.00108995,0.00108995,0.00108995
3,88.8955,1.22514,1.49816,1.45723,0.49953,0.29687,0.35935,0.16378,2.17469,3.42773,2.3859,0.00162372,0.00162372,0.00162372
4,101.505,1.19514,1.38381,1.4358,0.53863,0.62707,0.56363,0.28887,1.5815,2.20379,2.21672,0.00161749,0.00161749,0.00161749
5,114.083,1.1551,1.31219,1.41269,0.49864,0.48038,0.47015,0.29198,1.30604,3.01306,1.73789,0.00160099,0.00160099,0.00160099
6,129.054,1.14656,1.25941,1.39542,0.42838,0.51969,0.44293,0.27034,1.42907,2.18255,1.94435,0.00158448,0.00158448,0.00158448
7,146.585,1.11039,1.17378,1.35643,0.5059,0.5299,0.49679,0.30229,1.36038,1.75241,1.71836,0.00156798,0.00156798,0.00156798
8,161.678,1.08315,1.11813,1.33464,0.68436,0.6888,0.72533,0.47979,1.078,1.27618,1.49134,0.00155148,0.00155148,0.00155148
9,176.023,1.07438,1.10129,1.33424,0.79603,0.65541,0.75635,0.4804,1.16672,1.29916,1.66145,0.00153497,0.00153497,0.00153497
10,194.829,1.06425,1.03696,1.31989,0.76931,0.70951,0.8218,0.49545,1.13766,1.33506,1.64675,0.00151847,0.00151847,0.00151847
11,209.877,1.06242,0.99977,1.31601,0.60353,0.6905,0.68078,0.43132,1.08091,1.3218,1.53217,0.00150197,0.00150197,0.00150197
12,223.931,1.0323,0.96596,1.28858,0.78508,0.69006,0.80035,0.5131,1.18386,1.1462,1.61509,0.00148546,0.00148546,0.00148546
13,239.592,0.98241,0.89219,1.28478,0.68058,0.65237,0.72513,0.43608,1.22199,1.31859,1.66389,0.00146896,0.00146896,0.00146896
14,253.646,1.00314,0.93194,1.27837,0.83544,0.71469,0.81677,0.57763,0.90266,0.93507,1.3398,0.00145246,0.00145246,0.00145246
15,267.96,0.97826,0.88089,1.26309,0.75033,0.69302,0.76916,0.51866,1.00137,1.19933,1.41407,0.00143595,0.00143595,0.00143595
16,282.698,0.97879,0.91737,1.2575,0.88831,0.73976,0.87408,0.58732,0.99385,1.00351,1.40637,0.00141945,0.00141945,0.00141945
17,296.887,0.95125,0.8386,1.24457,0.87323,0.80917,0.8656,0.55473,1.08328,1.03359,1.43425,0.00140295,0.00140295,0.00140295
18,310.902,0.95764,0.82565,1.24577,0.83462,0.80471,0.86437,0.58916,0.94845,0.95162,1.39139,0.00138644,0.00138644,0.00138644
19,325.258,0.91832,0.79859,1.22669,0.91202,0.72979,0.86228,0.5981,0.92665,0.84343,1.36335,0.00136994,0.00136994,0.00136994
20,338.528,0.92776,0.79201,1.22418,0.91662,0.77333,0.88365,0.64732,0.90073,0.70216,1.30677,0.00135344,0.00135344,0.00135344
21,351.37,0.92087,0.7765,1.20802,0.83548,0.83803,0.86607,0.59718,0.9163,0.78743,1.34468,0.00133693,0.00133693,0.00133693
22,364.73,0.90252,0.76023,1.19636,0.82445,0.83173,0.88279,0.61568,0.86359,0.86108,1.28644,0.00132043,0.00132043,0.00132043
23,382.146,0.89141,0.75837,1.20159,0.82211,0.79315,0.88998,0.62996,0.90177,0.68475,1.3357,0.00130393,0.00130393,0.00130393
24,397.234,0.88902,0.74839,1.20477,0.87977,0.82737,0.90338,0.64681,0.85452,0.70706,1.2979,0.00128742,0.00128742,0.00128742
25,411.088,0.84805,0.69948,1.17236,0.80803,0.80471,0.86499,0.59718,0.98276,0.78977,1.39584,0.00127092,0.00127092,0.00127092
26,424.886,0.87199,0.71174,1.1749,0.93857,0.84787,0.94819,0.69354,0.80856,0.675,1.2487,0.00125442,0.00125442,0.00125442
27,438.281,0.87625,0.69511,1.17728,0.83471,0.8592,0.90218,0.62472,0.95012,0.75297,1.31063,0.00123791,0.00123791,0.00123791
28,444.792,0.85737,0.68984,1.16235,0.8735,0.78961,0.86405,0.61743,0.96103,0.82132,1.36449,0.00122141,0.00122141,0.00122141
29,451.457,0.8308,0.66464,1.14534,0.89856,0.81202,0.88478,0.64217,0.88459,0.76359,1.28753,0.00120491,0.00120491,0.00120491
30,462.002,0.81646,0.65812,1.15726,0.79143,0.82578,0.88798,0.64031,0.83605,0.76086,1.28409,0.0011884,0.0011884,0.0011884
31,475.148,0.83276,0.67133,1.16414,0.85923,0.87735,0.922,0.70846,0.73802,0.6456,1.18391,0.0011719,0.0011719,0.0011719
32,488.562,0.78675,0.63771,1.13621,0.79577,0.75651,0.81834,0.58527,0.93126,0.84859,1.34337,0.0011554,0.0011554,0.0011554
33,503.316,0.80928,0.64421,1.14084,0.90759,0.82003,0.88754,0.67016,0.80126,0.72101,1.21508,0.00113889,0.00113889,0.00113889
34,517.467,0.80746,0.64645,1.14544,0.92847,0.87763,0.92962,0.71156,0.77939,0.6,1.21685,0.00112239,0.00112239,0.00112239
35,531.153,0.7994,0.63815,1.14046,0.92074,0.79897,0.91125,0.70337,0.7547,0.58077,1.21699,0.00110589,0.00110589,0.00110589
36,545.472,0.79364,0.61351,1.12302,0.85876,0.85832,0.90402,0.68974,0.81292,0.68992,1.21912,0.00108938,0.00108938,0.00108938
37,559.831,0.79715,0.61706,1.12879,0.90416,0.86976,0.93731,0.71848,0.71672,0.58277,1.17737,0.00107288,0.00107288,0.00107288
38,573.694,0.76601,0.59539,1.10215,0.88031,0.82759,0.90706,0.67287,0.82053,0.67701,1.26198,0.00105638,0.00105638,0.00105638
39,586.949,0.7611,0.59956,1.11543,0.96268,0.78932,0.90004,0.68345,0.81634,0.61868,1.26932,0.00103987,0.00103987,0.00103987
40,601.131,0.76732,0.5988,1.12919,0.96077,0.79926,0.89171,0.68124,0.73925,0.62419,1.19248,0.00102337,0.00102337,0.00102337
41,614.989,0.75969,0.5758,1.10836,0.90037,0.85048,0.92644,0.6975,0.83936,0.56641,1.27651,0.00100687,0.00100687,0.00100687
42,628.619,0.75257,0.58099,1.10429,0.95553,0.82831,0.92399,0.68671,0.83564,0.66623,1.24907,0.000990365,0.000990365,0.000990365
43,641.742,0.75201,0.58343,1.10016,0.91635,0.83827,0.9093,0.7048,0.77473,0.60313,1.23725,0.000973861,0.000973861,0.000973861
44,655.161,0.74692,0.57783,1.11407,0.87999,0.85126,0.9283,0.68383,0.80808,0.62032,1.2268,0.000957358,0.000957358,0.000957358
45,668.487,0.75712,0.58932,1.10909,0.90508,0.75442,0.88239,0.65534,0.78082,0.66473,1.20668,0.000940855,0.000940855,0.000940855
46,681.771,0.72043,0.5658,1.08767,0.89619,0.82736,0.92567,0.72083,0.68671,0.68875,1.15026,0.000924352,0.000924352,0.000924352
47,696.174,0.75604,0.57848,1.1113,0.92458,0.86838,0.94439,0.75299,0.66528,0.52336,1.12854,0.000907848,0.000907848,0.000907848
48,709.527,0.70131,0.55153,1.07173,0.95584,0.80761,0.91862,0.70961,0.7662,0.62688,1.20653,0.000891345,0.000891345,0.000891345
49,723.225,0.7066,0.54331,1.08083,0.84307,0.83266,0.8994,0.68603,0.73436,0.62814,1.1777,0.000874842,0.000874842,0.000874842
50,736.777,0.70856,0.53914,1.08434,0.89941,0.83566,0.91093,0.70993,0.73799,0.59609,1.21873,0.000858338,0.000858338,0.000858338
51,749.371,0.70966,0.55045,1.07773,0.87845,0.88949,0.92927,0.7187,0.782,0.55666,1.18666,0.000841835,0.000841835,0.000841835
52,763.099,0.70825,0.53699,1.0837,0.89213,0.80471,0.8886,0.67395,0.79814,0.66656,1.19139,0.000825332,0.000825332,0.000825332
53,777.718,0.69919,0.53288,1.08022,0.93926,0.87621,0.93355,0.75153,0.6835,0.53226,1.12253,0.000808828,0.000808828,0.000808828
54,789.933,0.68949,0.52512,1.0662,0.84501,0.9017,0.92525,0.70326,0.74825,0.60405,1.17603,0.000792325,0.000792325,0.000792325
55,803.836,0.68922,0.51187,1.06431,0.92511,0.84634,0.9271,0.74381,0.71341,0.55715,1.14435,0.000775822,0.000775822,0.000775822
56,817.501,0.67081,0.50424,1.05855,0.97606,0.83021,0.91959,0.73157,0.65552,0.54102,1.12554,0.000759318,0.000759318,0.000759318
57,831.836,0.67942,0.50425,1.06321,0.94007,0.86303,0.94292,0.74184,0.72495,0.50075,1.1491,0.000742815,0.000742815,0.000742815
58,845.315,0.66273,0.49588,1.05675,0.91429,0.89316,0.92275,0.72957,0.71613,0.53531,1.13803,0.000726312,0.000726312,0.000726312
59,859.232,0.65201,0.49169,1.0553,0.95601,0.86792,0.92557,0.72482,0.75379,0.5315,1.17619,0.000709809,0.000709809,0.000709809
60,874.431,0.66881,0.48903,1.05304,0.9079,0.88949,0.92663,0.74715,0.73922,0.56508,1.18742,0.000693305,0.000693305,0.000693305
61,887.901,0.65643,0.47937,1.05044,0.91781,0.84754,0.89886,0.70306,0.78811,0.64409,1.20787,0.000676802,0.000676802,0.000676802
62,901.414,0.62887,0.45694,1.03421,0.94539,0.81561,0.90175,0.7132,0.74043,0.59508,1.18141,0.000660299,0.000660299,0.000660299
63,915.508,0.66109,0.49991,1.0491,0.91049,0.87905,0.93718,0.72828,0.78503,0.53019,1.19221,0.000643795,0.000643795,0.000643795
64,928.846,0.63727,0.47533,1.04031,0.90818,0.86399,0.92372,0.74502,0.73285,0.51264,1.15024,0.000627292,0.000627292,0.000627292
65,942.178,0.63398,0.48435,1.03997,0.85357,0.91544,0.93959,0.7278,0.71137,0.51213,1.16387,0.000610789,0.000610789,0.000610789
66,955.971,0.62489,0.46647,1.03415,0.96273,0.85844,0.94126,0.73214,0.72245,0.53777,1.16313,0.000594286,0.000594286,0.000594286
67,968.812,0.61316,0.46167,1.03789,0.94789,0.88274,0.93631,0.75822,0.70374,0.52683,1.14811,0.000577782,0.000577782,0.000577782
68,982.834,0.64288,0.48244,1.03793,0.93641,0.89756,0.92084,0.75288,0.69228,0.51688,1.10109,0.000561279,0.000561279,0.000561279
69,996.725,0.59641,0.43901,1.01908,0.96655,0.82148,0.90704,0.72778,0.74252,0.56514,1.13685,0.000544776,0.000544776,0.000544776
70,1010.12,0.60002,0.43893,1.02109,0.89843,0.88004,0.91452,0.73726,0.6718,0.55565,1.11834,0.000528272,0.000528272,0.000528272
71,1023.74,0.60668,0.43492,1.01984,0.98317,0.83269,0.9189,0.73764,0.75731,0.54915,1.15249,0.000511769,0.000511769,0.000511769
72,1037.8,0.61242,0.44374,1.02794,0.92954,0.89086,0.92608,0.75155,0.71098,0.50357,1.12462,0.000495266,0.000495266,0.000495266
73,1052.94,0.60351,0.43077,1.01538,0.94658,0.89494,0.92548,0.74289,0.75794,0.52211,1.16025,0.000478762,0.000478762,0.000478762
74,1064.8,0.60379,0.44887,1.02375,0.91775,0.87825,0.92419,0.74543,0.72211,0.49687,1.1383,0.000462259,0.000462259,0.000462259
75,1078.31,0.59655,0.43903,1.01449,0.9309,0.88455,0.92575,0.75598,0.69112,0.49657,1.10687,0.000445756,0.000445756,0.000445756
76,1091.88,0.5905,0.43566,1.01069,0.9128,0.88813,0.92829,0.75863,0.6703,0.509,1.09348,0.000429253,0.000429253,0.000429253
77,1105.87,0.59715,0.425,1.0213,0.97396,0.87467,0.92724,0.77667,0.66789,0.48387,1.10341,0.000412749,0.000412749,0.000412749
78,1119.58,0.58004,0.42272,1.01216,0.88609,0.90385,0.93703,0.76338,0.71122,0.48764,1.13022,0.000396246,0.000396246,0.000396246
79,1133.86,0.55509,0.41545,1.00141,0.90457,0.89706,0.9358,0.75719,0.7318,0.52175,1.14527,0.000379743,0.000379743,0.000379743
80,1147.21,0.58733,0.41872,1.01544,0.95574,0.88597,0.94042,0.76718,0.68967,0.48448,1.09942,0.000363239,0.000363239,0.000363239
81,1160.7,0.57286,0.40375,1.01368,0.93999,0.90846,0.93084,0.73786,0.7435,0.4868,1.15479,0.000346736,0.000346736,0.000346736
82,1174.41,0.56712,0.42207,1.01412,0.92055,0.87866,0.93071,0.74375,0.72873,0.49562,1.15942,0.000330233,0.000330233,0.000330233
83,1187.51,0.56141,0.40242,1.00212,0.94744,0.87467,0.93407,0.76176,0.70819,0.49439,1.12622,0.000313729,0.000313729,0.000313729
84,1201.1,0.57167,0.4074,1.00412,0.97271,0.8908,0.93189,0.76883,0.68324,0.46268,1.11074,0.000297226,0.000297226,0.000297226
85,1214.81,0.54143,0.38454,0.98661,0.95714,0.8908,0.93692,0.75329,0.70465,0.45915,1.11837,0.000280723,0.000280723,0.000280723
86,1229.08,0.53334,0.40079,0.98756,0.96936,0.89825,0.94362,0.76261,0.70785,0.45015,1.13746,0.00026422,0.00026422,0.00026422
87,1242.25,0.54751,0.39999,0.99308,0.92054,0.89504,0.93848,0.76285,0.71029,0.47439,1.1396,0.000247716,0.000247716,0.000247716
88,1255.26,0.54524,0.38757,1.00082,0.92698,0.87598,0.92933,0.75947,0.71088,0.47433,1.13001,0.000231213,0.000231213,0.000231213
89,1268.52,0.5466,0.3928,0.99801,0.94555,0.91783,0.94474,0.77823,0.67348,0.45088,1.09915,0.00021471,0.00021471,0.00021471
90,1281.51,0.51302,0.37699,0.97745,0.96381,0.90976,0.93786,0.76677,0.69169,0.45783,1.10104,0.000198206,0.000198206,0.000198206
91,1312.21,0.43721,0.30304,0.94141,0.96967,0.88758,0.93657,0.76698,0.69602,0.45024,1.14076,0.000181703,0.000181703,0.000181703
92,1326.23,0.4225,0.29051,0.92471,0.9485,0.90846,0.94884,0.76093,0.68548,0.4664,1.11865,0.0001652,0.0001652,0.0001652
93,1340.51,0.40993,0.27409,0.91511,0.96647,0.89494,0.93999,0.76555,0.68252,0.47142,1.11988,0.000148696,0.000148696,0.000148696
94,1353.84,0.39634,0.26573,0.91901,0.95951,0.90336,0.95081,0.76164,0.70543,0.45248,1.13202,0.000132193,0.000132193,0.000132193
95,1367.29,0.39538,0.26802,0.91225,0.97199,0.90225,0.94406,0.76352,0.70061,0.47242,1.12132,0.00011569,0.00011569,0.00011569
96,1379.51,0.3917,0.26562,0.90303,0.94921,0.9081,0.94111,0.7706,0.67919,0.44723,1.10733,9.91865e-05,9.91865e-05,9.91865e-05
97,1392.93,0.38549,0.25547,0.90713,0.95539,0.92459,0.93251,0.77631,0.6781,0.45279,1.09969,8.26832e-05,8.26832e-05,8.26832e-05
98,1406.51,0.38349,0.27086,0.9082,0.95176,0.91592,0.93589,0.77705,0.6775,0.45482,1.0891,6.61799e-05,6.61799e-05,6.61799e-05
99,1420.43,0.38074,0.25897,0.90186,0.9359,0.91867,0.93183,0.7771,0.65913,0.45754,1.07399,4.96766e-05,4.96766e-05,4.96766e-05
100,1435.26,0.38363,0.2579,0.90095,0.95127,0.91783,0.92962,0.77243,0.6756,0.46445,1.08687,3.31733e-05,3.31733e-05,3.31733e-05
