epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,45.2935,1.09409,2.98711,1.41806,0.44535,0.53553,0.30771,0.16717,1.25072,4.09529,1.61295,0.000544327,0.000544327,0.000544327
2,56.7326,1.17394,1.63384,1.48853,0.65253,0.43311,0.53342,0.237,1.61093,2.63994,2.1245,0.0010891,0.0010891,0.0010891
3,67.483,1.21676,1.46257,1.48752,0.68309,0.35704,0.41239,0.17195,1.84624,2.45826,2.31926,0.00162288,0.00162288,0.00162288
4,78.4482,1.21916,1.44966,1.51069,0.3016,0.54282,0.44011,0.21915,1.45136,2.29935,2.07296,0.00161749,0.00161749,0.00161749
5,90.4155,1.15471,1.26743,1.42832,0.53016,0.5303,0.48762,0.2736,1.60588,2.3083,1.93239,0.00160099,0.00160099,0.00160099
6,103.913,1.11077,1.22772,1.38983,0.6036,0.70357,0.68288,0.41992,1.1636,1.85335,1.68158,0.00158448,0.00158448,0.00158448
7,115.734,1.1098,1.16066,1.38934,0.6407,0.54054,0.53737,0.30902,1.35515,2.36673,1.76929,0.00156798,0.00156798,0.00156798
8,128.544,1.09342,1.14939,1.3796,0.54001,0.48176,0.52143,0.31829,1.19834,1.56541,1.69456,0.00155148,0.00155148,0.00155148
9,141.458,1.05313,1.03022,1.31906,0.73656,0.57868,0.65143,0.4159,1.19388,1.54818,1.68204,0.00153497,0.00153497,0.00153497
10,154.438,1.03871,0.99548,1.31699,0.70025,0.80029,0.78755,0.50249,1.13627,1.1997,1.60118,0.00151847,0.00151847,0.00151847
11,167.943,1.04469,0.97117,1.31569,0.62996,0.58876,0.60312,0.42589,1.13196,1.26877,1.55708,0.00150197,0.00150197,0.00150197
12,176.873,1.02633,0.98189,1.3215,0.76514,0.61748,0.6297,0.3958,1.23511,1.25998,1.64152,0.00148546,0.00148546,0.00148546
13,189.672,0.99375,0.92412,1.28965,0.72262,0.74019,0.77048,0.52653,1.00708,1.07515,1.42853,0.00146896,0.00146896,0.00146896
14,200.879,0.94968,0.87814,1.26801,0.86196,0.74935,0.85959,0.56669,1.06416,0.92139,1.50198,0.00145246,0.00145246,0.00145246
15,213.296,0.98298,0.91287,1.28496,0.81671,0.74673,0.82254,0.54995,1.04469,1.03607,1.52291,0.00143595,0.00143595,0.00143595
16,226.326,0.94669,0.82408,1.25906,0.76282,0.77671,0.81955,0.56444,0.98317,0.95067,1.44026,0.00141945,0.00141945,0.00141945
17,239.236,0.94571,0.8424,1.27299,0.86143,0.77899,0.86076,0.59103,0.9818,0.85957,1.41171,0.00140295,0.00140295,0.00140295
18,252.305,0.94449,0.80945,1.24231,0.84578,0.81539,0.86977,0.55576,1.00181,0.88311,1.49313,0.00138644,0.00138644,0.00138644
19,265.735,0.93903,0.796,1.23079,0.81804,0.69961,0.79906,0.53399,1.00435,1.07293,1.43227,0.00136994,0.00136994,0.00136994
20,278.858,0.90753,0.79915,1.22109,0.79058,0.72929,0.84446,0.56429,0.93483,0.90159,1.36844,0.00135344,0.00135344,0.00135344
21,292.209,0.91987,0.74833,1.23828,0.77406,0.80666,0.82768,0.54193,0.9679,0.96881,1.47041,0.00133693,0.00133693,0.00133693
22,305.586,0.88906,0.73331,1.20723,0.75369,0.74721,0.80247,0.56555,0.88041,0.91324,1.34948,0.00132043,0.00132043,0.00132043
23,318.942,0.89477,0.70521,1.20976,0.85303,0.7372,0.86126,0.57803,0.89053,0.86541,1.31155,0.00130393,0.00130393,0.00130393
24,332.344,0.8881,0.70312,1.20813,0.83202,0.77921,0.84173,0.60808,0.87691,0.83099,1.28304,0.00128742,0.00128742,0.00128742
25,345.546,0.87989,0.72759,1.19932,0.67379,0.65067,0.69336,0.44115,1.07275,1.38871,1.59708,0.00127092,0.00127092,0.00127092
